label, height, width, mse_lp, psnr_lp, corr_lp
-10,199,431,9.731560e-05,40.118,0.9938
-9,218,473,6.467514e-04,31.893,0.9528
-8,242,502,7.511856e-04,31.243,0.9298
-7,254,550,7.576835e-04,31.205,0.9433
-6,276,600,3.475173e-04,34.590,0.9794
-5,279,616,1.665376e-03,27.785,0.8709
-4,325,687,8.339547e-04,30.789,0.9326
-3,344,726,8.949608e-04,30.482,0.9365
-2,358,766,1.174346e-03,29.302,0.9181
-1,382,810,9.356152e-04,30.289,0.9331
0,410,862,5.296905e-04,32.760,0.9620
1,440,897,1.203374e-03,29.196,0.9339
2,456,926,1.059609e-03,29.749,0.9396
3,470,984,1.468648e-04,38.331,0.9915
5,508,1063,1.319813e-03,28.795,0.9223
6,534,1103,4.157423e-03,23.812,0.8651
7,562,1164,1.623846e-03,27.895,0.9301
8,588,1218,3.129242e-03,25.046,0.8734
9,591,1262,2.533363e-03,25.963,0.8974
10,642,1345,2.040799e-03,26.902,0.9190
