label, height, width, mse_lp, psnr_lp, corr_lp
-10,218,451,2.859976e-03,25.436,0.8069
-9,245,472,2.237994e-03,26.501,0.8190
-8,262,535,3.736797e-03,24.275,0.7690
-7,278,600,6.612882e-03,21.796,0.5962
-6,296,621,2.250300e-03,26.478,0.8760
-5,317,665,9.851762e-03,20.065,0.4108
-4,297,649,5.886794e-03,22.301,0.7084
-3,330,692,6.440955e-03,21.910,0.6688
-2,348,717,1.112665e-02,19.536,0.4181
-1,415,859,7.923983e-03,21.011,0.6635
0,431,926,3.498798e-03,24.561,0.8767
1,469,973,3.638472e-03,24.391,0.8734
2,497,974,6.723099e-03,21.724,0.7321
3,476,994,5.313096e-03,22.747,0.7742
4,530,1083,5.826594e-03,22.346,0.7207
5,530,1147,5.911862e-03,22.283,0.6718
6,541,1150,7.379733e-03,21.320,0.6793
7,580,1178,6.959560e-03,21.574,0.6862
8,610,1276,9.904413e-03,20.042,0.5700
9,595,1291,7.852924e-03,21.050,0.6693
10,646,1335,7.824679e-03,21.065,0.6713
