label, height, width, mse_lp, psnr_lp, corr_lp
-10,254,294,1.250410e-02,19.029,0.4815
-9,294,326,8.705703e-03,20.602,0.6334
-8,315,358,1.917471e-02,17.173,0.2450
-7,346,381,6.073012e-03,22.166,0.7660
-6,353,403,7.142571e-03,21.461,0.7830
-5,391,451,9.576695e-03,20.188,0.6773
-4,402,471,6.524019e-03,21.855,0.8098
-3,424,484,5.286749e-03,22.768,0.8726
-2,435,501,1.113391e-02,19.534,0.7025
-1,490,538,7.175598e-03,21.441,0.8311
0,534,604,1.052793e-02,19.777,0.7380
1,571,625,5.418219e-03,22.661,0.8942
2,590,647,1.393476e-02,18.559,0.6610
3,580,696,9.900664e-03,20.043,0.7706
4,633,722,1.755661e-02,17.556,0.5616
5,653,712,2.375410e-02,16.243,0.3432
6,698,762,1.318972e-02,18.798,0.6706
7,702,813,1.173668e-02,19.305,0.6726
8,734,816,2.082413e-02,16.814,0.4454
9,785,832,1.263823e-02,18.983,0.6489
10,840,887,1.169908e-02,19.318,0.7102
