label, height, width, mse_lp, psnr_lp, corr_lp
-10,254,292,1.185695e-02,19.260,0.5326
-9,292,329,8.313808e-03,20.802,0.7359
-8,314,361,2.280821e-02,16.419,0.3817
-7,349,393,9.202130e-03,20.361,0.7147
-6,375,407,1.414509e-02,18.494,0.5807
-5,401,456,1.134413e-02,19.452,0.6879
-4,425,472,3.658908e-03,24.366,0.9495
-3,455,489,7.590095e-03,21.198,0.8265
-2,478,531,3.344566e-03,24.757,0.9524
-1,508,550,2.079721e-02,16.820,0.3989
0,543,607,8.199250e-03,20.862,0.7922
1,571,632,6.125234e-03,22.129,0.8643
2,603,670,8.069297e-03,20.932,0.8012
3,602,720,1.131660e-02,19.463,0.6877
4,649,734,8.189276e-03,20.868,0.7960
5,677,731,4.835183e-03,23.156,0.9173
6,689,773,5.990030e-03,22.226,0.8676
7,724,796,1.307277e-02,18.836,0.6656
8,748,838,4.432202e-03,23.534,0.9096
9,773,885,9.936761e-03,20.028,0.7229
10,794,932,1.048994e-02,19.792,0.7357
